disease,MEDICATION:
Pertussis Prophylaxis,"clarithromycin; azithromycin; diphtheria toxoid / hepatitis b pediatric vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid; diphtheria toxoid / pertussis, acellular / tetanus toxoid; diphtheria toxoid / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid; diphtheria and tetanus toxoids / pertussis, acellular; diphtheria toxoid / haemophilus b conjugate (prp-t) vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid; diphtheria and tetanus toxoids / pertussis, acellular / poliovirus vaccine, inactivated / haemophilus b conjugate / hepatitis b vaccine"
Positron Emission Tomography Imaging,florbetapir F 18; gallium ga 68 dotatate; rubidium chloride rb-82; flutemetamol f-18; choline c-11; florbetaben f-18; fluciclovine F 18; gallium ga-68 dotatoc; florbetapir F 18; gallium ga 68 dotatate; rubidium chloride rb-82; flutemetamol f-18; choline c-11; florbetaben f-18; fluciclovine F 18; gallium ga-68 dotatoc
Peyronie's Disease,collagenase clostridium histolyticum
Pharyngitis,azithromycin; prednisone; cephalexin; erythromycin; clarithromycin; ampicillin; dicloxacillin
Phenylketonuria,sapropterin; pegvaliase; sapropterin; pegvaliase
Pheochromocytoma,phenoxybenzamine; labetalol; propranolol; metyrosine; phentolamine; iobenguane I 131
Pheochromocytoma Diagnosis,phentolamine; clonidine
Social Anxiety Disorder,sertraline; paroxetine; venlafaxine; fluvoxamine; risperidone; atomoxetine; sertraline; paroxetine; venlafaxine; fluvoxamine; risperidone; atomoxetine; sertraline; paroxetine; venlafaxine; fluvoxamine; risperidone; atomoxetine
Physical Urticaria,cetirizine; fexofenadine; loratadine
Pinworm Infection (Enterobius vermicularis),mebendazole; albendazole; pyrantel; mebendazole; albendazole; pyrantel; mebendazole; albendazole; pyrantel
Pituitary Adenoma,octreotide
Pityriasis rubra pilaris,triamcinolone; acitretin; methotrexate; urea; isotretinoin; lactic acid; triamcinolone; acitretin; methotrexate; urea; isotretinoin; lactic acid
Tinea Versicolor,ketoconazole; ketoconazole; selenium sulfide; fluconazole; clotrimazole; econazole; miconazole; ciclopirox; itraconazole; terbinafine; tolnaftate; ketoconazole; ketoconazole; selenium sulfide; fluconazole; clotrimazole; econazole; miconazole; ciclopirox; itraconazole; terbinafine; tolnaftate
Plague Prophylaxis,levofloxacin; ciprofloxacin; moxifloxacin
Plantar Fasciitis,ibuprofen; acetaminophen
Plaque Psoriasis,betamethasone; calcipotriene; apremilast; betamethasone / calcipotriene; methylprednisolone; etanercept; adalimumab; secukinumab; dexamethasone; ixekizumab; brodalumab; hydroxyurea; betamethasone; calcipotriene; apremilast; betamethasone / calcipotriene; methylprednisolone; etanercept; adalimumab; secukinumab; dexamethasone; ixekizumab; brodalumab; hydroxyurea
Platelet Aggregation Inhibition,clopidogrel
Pleural Effusion,doxycycline; sterile talc
Primary Mediastinal Large B-cell Lymphoma,pembrolizumab; pembrolizumab
Premenstrual Dysphoric Disorder,fluoxetine; sertraline; citalopram; escitalopram; paroxetine; bupropion; venlafaxine; drospirenone / ethinyl estradiol; drospirenone / ethinyl estradiol / levomefolate calcium; acetaminophen / pamabrom / pyrilamine; pamabrom; fluoxetine; sertraline; citalopram; escitalopram; paroxetine; bupropion; venlafaxine; drospirenone / ethinyl estradiol; drospirenone / ethinyl estradiol / levomefolate calcium; acetaminophen / pamabrom / pyrilamine; pamabrom
Premenstrual Syndrome,acetaminophen / pamabrom / pyrilamine; ethinyl estradiol / levonorgestrel; acetaminophen / caffeine / pyrilamine; pamabrom; acetaminophen / pamabrom; acetaminophen / pamabrom / pyrilamine; ethinyl estradiol / levonorgestrel; acetaminophen / caffeine / pyrilamine; pamabrom; acetaminophen / pamabrom; acetaminophen / pamabrom / pyrilamine; ethinyl estradiol / levonorgestrel; acetaminophen / caffeine / pyrilamine; pamabrom; acetaminophen / pamabrom; acetaminophen / pamabrom / pyrilamine; ethinyl estradiol / levonorgestrel; acetaminophen / caffeine / pyrilamine; pamabrom; acetaminophen / pamabrom
Pneumococcal Disease Prophylaxis,pneumococcal 13-valent vaccine; pneumococcal 23-polyvalent vaccine
Pneumocystis Pneumonia,dapsone; sulfamethoxazole / trimethoprim; atovaquone; pentamidine; clindamycin; trimethoprim; leucovorin; primaquine
Pneumocystis Pneumonia Prophylaxis,dapsone; sulfamethoxazole / trimethoprim; pentamidine; atovaquone; leucovorin; pyrimethamine
Pneumonia with Cystic Fibrosis,ceftazidime; ciprofloxacin; cilastatin / imipenem; aztreonam; piperacillin
Poison Ivy,pramoxine / zinc acetate
Poison Oak,pramoxine / zinc acetate
Poison Sumac,pramoxine / zinc acetate
Poliomyelitis Prophylaxis,"poliovirus vaccine, inactivated; diphtheria toxoid / haemophilus b conjugate (prp-t) vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid; diphtheria toxoid / hepatitis b pediatric vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid; diphtheria toxoid / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid; diphtheria and tetanus toxoids / pertussis, acellular / poliovirus vaccine, inactivated / haemophilus b conjugate / hepatitis b vaccine"
Polychondritis,infliximab
Polycythemia Vera,hydroxyurea; ruxolitinib
Polymyalgia Rheumatica,prednisone; ibuprofen
Polymyositis/Dermatomyositis,prednisone; immune globulin intravenous; corticotropin
Pompe disease,alglucosidase alfa
Pork Tapeworm Infection (Taenia solium),praziquantel; paromomycin; praziquantel; paromomycin
Portal Hypertension,propranolol; nadolol
Post-Cholecystectomy Diarrhea,cholestyramine; cholestyramine
Rhinorrhea,ipratropium; doxylamine; acetaminophen / chlorpheniramine; triprolidine; acetaminophen / dextromethorphan / doxylamine / phenylephrine; acetaminophen / chlorpheniramine / dextromethorphan / phenylephrine; brompheniramine / codeine; chlophedianol / dexbrompheniramine; dexbrompheniramine / phenylephrine; dextromethorphan / pyrilamine; ipratropium; doxylamine; acetaminophen / chlorpheniramine; triprolidine; acetaminophen / dextromethorphan / doxylamine / phenylephrine; acetaminophen / chlorpheniramine / dextromethorphan / phenylephrine; brompheniramine / codeine; chlophedianol / dexbrompheniramine; dexbrompheniramine / phenylephrine; dextromethorphan / pyrilamine; ipratropium; doxylamine; acetaminophen / chlorpheniramine; triprolidine; acetaminophen / dextromethorphan / doxylamine / phenylephrine; acetaminophen / chlorpheniramine / dextromethorphan / phenylephrine; brompheniramine / codeine; chlophedianol / dexbrompheniramine; dexbrompheniramine / phenylephrine; dextromethorphan / pyrilamine
Post-Polio Syndrome,amantadine
Postanesthetic Shivering,ondansetron; clonidine
Postmenopausal Symptoms,estradiol; conjugated estrogens; estradiol / norethindrone; gabapentin; conjugated estrogens / medroxyprogesterone; ethinyl estradiol / norethindrone; estropipate
Postoperative Albumin Loss,albumin human
Postoperative Gas Pains,simethicone; vasopressin
Postoperative Ileus,alvimopan
Postoperative Increased Intraocular Pressure,nepafenac; apraclonidine
Postoperative Ocular Inflammation,prednisolone; ketorolac; bromfenac; diclofenac; nepafenac; difluprednate; loteprednol; dexamethasone; dexamethasone / tobramycin
Postoperative Pain,ketorolac; fentanyl; bupivacaine
Postpartum Bleeding,methylergonovine; misoprostol; oxytocin; carboprost
Postpartum Breast Pain,testosterone; methyltestosterone
Pouchitis,metronidazole; ciprofloxacin
Prader-Willi Syndrome,somatropin
Pre-Exposure Prophylaxis,emtricitabine / tenofovir; emtricitabine / tenofovir alafenamide; emtricitabine / tenofovir; emtricitabine / tenofovir alafenamide; emtricitabine / tenofovir; emtricitabine / tenofovir alafenamide; emtricitabine / tenofovir; emtricitabine / tenofovir alafenamide
Precocious Puberty,tamoxifen; leuprolide; histrelin; triptorelin; nafarelin
Premature Ejaculation,fluoxetine; clomipramine; benzocaine
Premature Labor,progesterone; nifedipine; terbutaline; hydroxyprogesterone
Premature Ventricular Depolarizations,metoprolol; bisoprolol; acebutolol
"Skin Disinfection, Preoperative",chlorhexidine; chlorhexidine; chlorhexidine
Prepubertal Cryptorchidism,chorionic gonadotropin (hcg)
Prevention of Atherothrombotic Events,ticagrelor; vorapaxar
Prevention of Cardiovascular Disease,atorvastatin; rosuvastatin; simvastatin; telmisartan; aspirin / omeprazole; amlodipine / atorvastatin
Prevention of Dental Caries,fluoride; fluoride
Prevention of Falls,cholecalciferol
Prevention of Fractures,cholecalciferol
Prevention of Hypokalemia,potassium chloride; potassium gluconate; potassium bicarbonate; potassium bicarbonate / potassium chloride
Prevention of Osteoporosis,alendronate; raloxifene; ibandronate; risedronate; zoledronic acid; ethinyl estradiol / norethindrone; bazedoxifene / conjugated estrogens; estradiol / levonorgestrel
Prevention of Perinatal Group B Streptococcal Disease,clindamycin; ampicillin; cefazolin; vancomycin; penicillin g sodium; penicillin g potassium
Prevention of Phototoxicity in Erythropoietic Protoporphyria,afamelanotide
Prevention of Radiographic Contrast Nephropathy,fenoldopam
Prevention of Sunburn,zinc oxide
Prevention of Thromboembolism in Atrial Fibrillation,warfarin; aspirin; apixaban; dabigatran; rivaroxaban; edoxaban
Primary Hyperaldosteronism,spironolactone
Primary Hyperaldosteronism Diagnosis,spironolactone
Primary Hyperparathyroidism,cinacalcet
Primary IGF-1 Deficiency,mecasermin
Primary Immunodeficiency Syndrome,immune globulin intravenous; immune globulin subcutaneous; immune globulin intravenous and subcutaneous; hyaluronidase / immune globulin
Primary Nocturnal Enuresis,desmopressin; imipramine; nortriptyline
Primary Ovarian Failure,estradiol; conjugated estrogens; conjugated estrogens / medroxyprogesterone; estropipate; esterified estrogens; ethinyl estradiol
Primary Periodic Paralysis,dichlorphenamide
Proctitis,hydrocortisone; doxycycline; ceftriaxone
Production of Miosis,carbachol; pilocarpine; acetylcholine
Progesterone Insufficiency,progesterone
Transurethral Prostatectomy,fosfomycin; fosfomycin; fosfomycin; fosfomycin
"Prosthetic Heart Valves, Mechanical Valves - Thrombosis Prophylaxis",warfarin; aspirin
"Prosthetic Heart Valves, Tissue Valves - Thrombosis Prophylaxis",warfarin
Protein C Deficiency,protein c
Protein S Deficiency,warfarin
Pruritus of Partial Biliary Obstruction,cholestyramine
Pseudoallescheriosis,voriconazole
"Pseudogout, Prophylaxis",colchicine
Pseudohypoparathyroidism,"calcium lactate; calcium phosphate, tribasic"
Psittacosis,doxycycline; tetracycline; chloramphenicol; minocycline
Psoriatic Arthritis,methotrexate; prednisone; sulfasalazine; leflunomide; etanercept; infliximab; adalimumab; apremilast; secukinumab; dexamethasone; triamcinolone; certolizumab; ustekinumab
Somatoform Pain Disorder,amitriptyline; venlafaxine; sertraline; escitalopram; fluoxetine; imipramine; duloxetine; milnacipran; citalopram; paroxetine; fluvoxamine; desvenlafaxine; amitriptyline; venlafaxine; sertraline; escitalopram; fluoxetine; imipramine; duloxetine; milnacipran; citalopram; paroxetine; fluvoxamine; desvenlafaxine; amitriptyline; venlafaxine; sertraline; escitalopram; fluoxetine; imipramine; duloxetine; milnacipran; citalopram; paroxetine; fluvoxamine; desvenlafaxine
Psychosis,haloperidol; perphenazine; chlorpromazine; fluphenazine; prochlorperazine; thiothixene; iloperidone
Pubertal Gynecomastia,anastrozole; clomiphene
Pudendal Neuralgia,gabapentin; amitriptyline
Pulmonary Edema,furosemide; bumetanide; ethacrynic acid
Pulmonary Embolism,rivaroxaban; apixaban; heparin; fondaparinux; dabigatran; alteplase; edoxaban; urokinase
"Pulmonary Embolism, First Event",warfarin
"Pulmonary Embolism, Recurrent Event",warfarin; rivaroxaban
Pulmonary Tuberculosis,dexamethasone
Pupillary Dilation,atropine; phenylephrine; tropicamide; cyclopentolate; epinephrine
Pyoderma Gangrenosum,infliximab
Q Fever,doxycycline; minocycline; doxycycline; minocycline
Rabbit Fever (Tularemia),doxycycline; streptomycin; ciprofloxacin; gentamicin; tobramycin; chloramphenicol; minocycline; doxycycline; streptomycin; ciprofloxacin; gentamicin; tobramycin; chloramphenicol; minocycline
Rabies Prophylaxis,"rabies immune globulin, human; rabies vaccine, purified chick embryo cell; rabies vaccine, human diploid cell"
Radiation Emergency,potassium iodide; pentetate calcium trisodium; prussian blue; pentetate zinc trisodium
Radiographic Exam,metoclopramide
Radionuclide Myocardial Perfusion Study,dipyridamole; adenosine; regadenoson
Rat-bite Fever,penicillin v potassium; penicillin g sodium; penicillin g potassium; procaine penicillin
Raynaud's Syndrome,nifedipine; amlodipine; diltiazem; nitroglycerin; felodipine; prazosin; trolamine salicylate; doxazosin; isoxsuprine; isradipine; nisoldipine; nifedipine; amlodipine; diltiazem; nitroglycerin; felodipine; prazosin; trolamine salicylate; doxazosin; isoxsuprine; isradipine; nisoldipine; nifedipine; amlodipine; diltiazem; nitroglycerin; felodipine; prazosin; trolamine salicylate; doxazosin; isoxsuprine; isradipine; nisoldipine
Reactive Perforating Collangenosis,allopurinol
Reduction of Perinatal Transmission of HIV,zidovudine; nevirapine
"Refraction, Assessment",cyclopentolate; atropine; tropicamide; homatropine
Rejection Prophylaxis,mycophenolic acid; belatacept; muromonab-cd3
Rejection Reversal,muromonab-cd3
Renal Arteriography,iodixanol; ioversol
Renal Osteodystrophy,calcitriol; ergocalciferol; calcifediol
Renal Transplant,"furosemide; azathioprine; anti-thymocyte globulin (rabbit); lymphocyte immune globulin, anti-thy (equine)"
Renal Tubular Acidosis,potassium citrate; potassium citrate
Respiratory Failure,nitric oxide; caffeine / sodium benzoate
Upper Respiratory Tract Infection,amoxicillin; doxycycline; azithromycin; cephalexin; clarithromycin; amoxicillin / clavulanate; sulfamethoxazole / trimethoprim; cefuroxime; erythromycin; cefixime; ampicillin; amoxicillin; doxycycline; azithromycin; cephalexin; clarithromycin; amoxicillin / clavulanate; sulfamethoxazole / trimethoprim; cefuroxime; erythromycin; cefixime; ampicillin; amoxicillin; doxycycline; azithromycin; cephalexin; clarithromycin; amoxicillin / clavulanate; sulfamethoxazole / trimethoprim; cefuroxime; erythromycin; cefixime; ampicillin; amoxicillin; doxycycline; azithromycin; cephalexin; clarithromycin; amoxicillin / clavulanate; sulfamethoxazole / trimethoprim; cefuroxime; erythromycin; cefixime; ampicillin
Retinal Disorders,voretigene neparvovec
Retinopathy,ranibizumab
Retinopathy Prophylaxis,vitamin e
"Revascularization Procedures, Prophylaxis",aspirin; pravastatin
Reversal of Acquired Coagulation Factor Deficiency,prothrombin complex
Reversal of Anesthesia,phentolamine
Reversal of Anticoagulation,coagulation factor Xa
Reversal of Dabigatran Anticoagulation,idarucizumab
Reversal of Neuromuscular Blockade,neostigmine; sugammadex
Reversal of Nondepolarizing Muscle Relaxants,pyridostigmine; neostigmine; sugammadex; atropine / edrophonium
Reversal of Opioid Sedation,naloxone
Reversal of Sedation,flumazenil
"Reversible Airways Disease, Maintenance",budesonide; beclomethasone
Rh-Isoimmunization,rho (d) immune globulin
Rhabdomyosarcoma,vincristine; dactinomycin
Rheumatic Fever,aspirin
Rheumatic Fever Prophylaxis,penicillin v potassium; erythromycin; sulfadiazine; penicillin g benzathine
Rhinitis,fluticasone; brompheniramine / phenylephrine; chlorpheniramine / methscopolamine / phenylephrine
Rickets,calcitriol; ergocalciferol
Rickettsial Infection,doxycycline; chloramphenicol; tetracycline
Rubella,immune globulin intramuscular
Rubella Prophylaxis,measles virus vaccine / mumps virus vaccine / rubella virus vaccine; measles virus vaccine / mumps virus vaccine / rubella virus vaccine / varicella virus vaccine
Salivary Gland Cancer,trastuzumab
Salmonella Enteric Fever,ciprofloxacin; ofloxacin; ceftriaxone
Salmonella Gastroenteritis,ciprofloxacin; ceftriaxone; ofloxacin; cefotaxime
SAPHO Syndrome,etanercept; infliximab
Sarcoidosis,prednisone; azathioprine; corticotropin; chloroquine; dexamethasone; infliximab; triamcinolone; colchicine; adalimumab; cortisone
Small Bowel Bacterial Overgrowth,amoxicillin / clavulanate; amoxicillin / clavulanate; amoxicillin / clavulanate; amoxicillin / clavulanate
Scabies,permethrin; ivermectin; crotamiton; lindane
Streptococcal Infection,levofloxacin; penicillin v potassium; procaine penicillin; penicillin g benzathine / procaine penicillin; penicillin g benzathine; penicillin g potassium; penicillin g sodium; levofloxacin; penicillin v potassium; procaine penicillin; penicillin g benzathine / procaine penicillin; penicillin g benzathine; penicillin g potassium; penicillin g sodium; levofloxacin; penicillin v potassium; procaine penicillin; penicillin g benzathine / procaine penicillin; penicillin g benzathine; penicillin g potassium; penicillin g sodium
